Protein,AUC,Index,Model,T,Onset,Scale,MaxFlag
"CALCA, DUSP29, ITGB6, NEB, NEFL, NFAT5, STX4, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.696178367,7,LASSO,3,_first_onset,,NA
"ALDH3A1, CALCA, DUSP29, ENPP5, ITGB6, KLK8, MSTN, NEB, NEFL, NFAT5, NGRN, STX4, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.687224843,12,LASSO,3,_first_onset,,NA
"ALDH3A1, CALCA, CD38, DUSP29, ENPP5, ITGB6, KLK8, MSTN, NDE1, NEB, NEFL, NFAT5, NGRN, STX4, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.678390522,14,LASSO,3,_first_onset,,NA
"ALDH3A1, CALCA, CD38, DUSP29, ELAVL4, ENPP5, HPCAL4, ITGB6, KLK8, MSTN, NDE1, NEB, NEFL, NFAT5, NGRN, SAV1, SERPINB8, STX4, THBS4, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.67512751,19,LASSO,3,_first_onset,,NA
"ALDH3A1, CALCA, CD38, DUSP29, ELAVL4, ENPP5, GFAP, HPCAL4, IQGAP2, ITGB6, KLK8, MSTN, MYH1, NDE1, NEB, NEFL, NFAT5, NGRN, SAV1, SERPINB8, STX4, THBS4, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.671589793,22,LASSO,3,_first_onset,,NA
"ADAM12, ALDH3A1, CALCA, CD38, CLEC4G, DUSP29, ELAVL4, GFAP, HPCAL4, IQGAP2, ITGAV, ITGB6, KLK8, MSTN, MYH1, NDE1, NEB, NEFL, NFAT5, NGRN, SAV1, SERPINB8, STX4, THBS4, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.669212988,24,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ALDH3A1, CALCA, CD38, CLEC4G, DUSP29, ELAVL4, GFAP, HPCAL4, IQGAP2, ITGAV, ITGB6, KLK8, MSTN, MYH1, NDE1, NEB, NEFL, NFAT5, NGRN, SAV1, SERPINB8, STX4, THBS4, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.670464499,25,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ALDH3A1, CALCA, CD38, CLEC4G, DUSP29, ELAVL4, EPHA1, GFAP, HPCAL4, IQGAP2, ITGAV, ITGB6, KLK8, MSTN, MYH1, NDE1, NEB, NEFL, NFAT5, NGRN, SAV1, SERPINB8, STX4, THBS4, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.66572995,26,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ALDH3A1, CALCA, CAPN3, CCK, CD38, CLEC4G, DUSP29, ELAVL4, EPHA1, FGFBP1, GFAP, HPCAL4, IQGAP2, ITGAV, ITGB6, KLK8, MSTN, MYH1, MYOM3, NDE1, NEB, NEFL, NFAT5, NGRN, NOS1, SAV1, SERPINB8, STX4, THBS4, TTN, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.666654039,32,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ALDH3A1, CALCA, CAPN3, CCK, CD38, CLEC4G, DUSP29, ELAVL4, EPHA1, FGFBP1, GFAP, HPCAL4, HS6ST2, IGFL3, IQGAP2, ITGAV, ITGB6, KLK8, MSTN, MYH1, MYOM3, NDE1, NEB, NEFL, NFAT5, NGRN, NOS1, SAV1, SERPINB8, STX4, THBS4, TTN, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.663771393,34,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ALDH3A1, ART3, CALCA, CAPN3, CCK, CD38, CLEC4G, DUSP29, ELAVL4, EPHA1, FGFBP1, GFAP, HPCAL4, IGFL3, IQGAP2, ITGAV, ITGB6, KLK4, KLK8, MSTN, MYH1, MYL5, MYOM3, NDE1, NEB, NEFL, NFAT5, NGRN, NOS1, PPFIA1, SAV1, SERPINB8, STX4, THBS4, TTN, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.664885518,37,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ALDH3A1, ART3, CALCA, CAPN3, CCK, CD38, CLEC4G, DUSP29, ELAVL4, EPHA1, FGFBP1, GFAP, HPCAL4, IFT172, IGFL3, IQGAP2, ITGAV, ITGB6, KLK4, KLK8, MSTN, MYH1, MYL5, MYOM3, NDE1, NEB, NEFL, NFAT5, NGRN, NOS1, PPFIA1, SAV1, SERPINB8, STX4, THBS4, TRAF2, TTN, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.667607896,39,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ALDH3A1, ART3, CALCA, CAP2, CAPN3, CCK, CD38, CLEC4G, DUSP29, ELAVL4, EPHA1, FABP2, FGFBP1, GFAP, HPCAL4, HS6ST2, IFT172, IGFL3, IQGAP2, ITGAV, ITGB6, KLK4, KLK8, MSTN, MYH1, MYL5, MYOM3, NDE1, NEB, NEFL, NFAT5, NGRN, NOS1, PDZD2, PPFIA1, PPY, SAV1, SERPINB8, STX4, THBS4, TRAF2, TTN, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.664600375,44,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ALDH3A1, ART3, CALCA, CAP2, CAPN3, CCK, CD38, CLEC4G, DUSP29, ELAVL4, EPHA1, FABP2, FGFBP1, GFAP, HPCAL4, HS6ST2, IFT172, IGFL3, IQGAP2, ITGAV, ITGB6, KLK4, KLK8, MSTN, MYH1, MYL1, MYL5, MYOM3, NDE1, NEB, NEFL, NFAT5, NGRN, NOS1, PDZD2, PPFIA1, PPY, RGMA, SAV1, SERPINB8, STX4, THBS4, TRAF2, TTN, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.666130281,46,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ART3, CALCA, CAP2, CAPN3, CCK, CD38, CLEC4G, DUSP29, ELAVL4, EPHA1, FABP2, FGFBP1, GFAP, HPCAL4, HS6ST2, IFT172, IGFL3, IQGAP2, ITGAV, ITGB6, KLK4, KLK8, MPHOSPH9, MSTN, MYH1, MYL1, MYL5, MYOM3, NDE1, NEB, NEFL, NFAT5, NGRN, NOS1, PDZD2, PPFIA1, PPP6R2, PPY, RGMA, SAV1, SERPINB8, STX4, THBS4, TRAF2, TTN, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.665798565,49,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CALCA, CAP2, CAPN3, CCK, CD38, CLEC4G, DUSP29, ELAVL4, EPHA1, FABP2, FGFBP1, GFAP, HPCAL4, HS6ST2, IFT172, IGFL3, IQGAP2, ITGAV, ITGB6, KLHL41, KLK4, KLK8, MPHOSPH9, MSTN, MYH1, MYL1, MYL5, MYOM3, NDE1, NEB, NEFL, NFAT5, NGRN, NOS1, PDZD2, PPFIA1, PPP6R2, PPY, RGMA, SAV1, SERPINB8, STX4, THBS4, TRAF2, TTN, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.669582092,51,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CALCA, CAP2, CCK, CD38, CLEC4G, DTNB, DUSP29, ELAVL4, EPHA1, FABP2, FGFBP1, GFAP, GOLGA4, HPCAL4, HS6ST2, IFT172, IGFL3, IQGAP2, ITGAV, ITGB6, KLHL41, KLK4, KLK8, MPHOSPH9, MSTN, MYH1, MYL1, MYL5, MYOM3, NDE1, NEB, NEFL, NFAT5, NGRN, NOS1, PDZD2, PPFIA1, PPP6R2, PPY, RGMA, SAV1, SERPINB8, STX4, THBS4, TRAF2, TTN, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.666675364,52,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CALCA, CAP2, CCK, CD38, CLEC4G, DTNB, DUSP29, ELAVL4, EPHA1, FABP2, FGFBP1, GFAP, GOLGA4, HPCAL4, HS6ST2, IFT172, IGFL3, IQGAP2, ITGAV, ITGB6, KLHL41, KLK4, KLK8, MPHOSPH9, MSTN, MYH1, MYL1, MYL5, MYOM3, NDE1, NEB, NEFL, NFAT5, NGRN, NOS1, PDZD2, PPFIA1, PPP6R2, PPY, RGMA, SAV1, SERPINB8, SORBS1, STX4, THBS4, TRAF2, TTN, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.664844615,53,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CALCA, CAP2, CCK, CD38, CLEC4G, CRTAC1, DTNB, DUSP29, ELAVL4, EPHA1, FABP2, FGFBP1, GFAP, GOLGA4, HPCAL4, HS6ST2, IFT172, IGFL3, IQGAP2, ITGAV, ITGB6, KLHL41, KLK4, KLK8, MPHOSPH9, MSTN, MYH1, MYL1, MYL5, MYOM3, NDE1, NEB, NEFL, NFAT5, NGRN, NOS1, PDZD2, PPFIA1, PPP6R2, PPY, RGMA, SAV1, SERPINB8, SORBS1, STX4, THBS4, TRAF2, TTN, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.665632463,55,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CALCA, CALCOCO1, CAP2, CCK, CD38, CLEC4G, CRTAC1, DTNB, DUSP29, ELAVL4, EPHA1, FABP2, FGFBP1, GFAP, GOLGA4, HPCAL4, HS6ST2, IFT172, IGFL3, IQGAP2, ITGAV, ITGB6, KLHL41, KLK4, KLK8, MPHOSPH9, MSTN, MYH1, MYL1, MYL5, MYOM3, NDE1, NEB, NEFL, NFAT5, NGRN, NOS1, PDZD2, PPFIA1, PPP6R2, PPY, RGMA, SAV1, SERPINB8, SORBS1, STX4, THBS4, TRAF2, TTN, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.663808836,56,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CALCA, CALCOCO1, CAP2, CCK, CCN3, CD276, CD38, CLEC4G, CRTAC1, DTNB, DUSP29, ELAVL4, EPHA1, FABP2, FGFBP1, GFAP, GOLGA4, HPCAL4, HS6ST2, IFT172, IGFL3, IQGAP2, IRAG2, ITGAV, ITGB6, KLHL41, KLK4, KLK8, MAP3K5, MPHOSPH9, MSTN, MYBPC2, MYH1, MYL1, MYL3, MYL5, MYOM3, NEB, NEFL, NFAT5, NGRN, NOS1, PDZD2, PPFIA1, PPP6R2, PPY, RGMA, SAV1, SERPINB8, SORBS1, STX4, THBS4, TRAF2, TTN, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.662848856,61,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CAP2, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, DTNB, DUSP29, ELAVL4, EPHA1, FABP2, FGFBP1, GFAP, GOLGA4, HPCAL4, HS6ST2, IFT172, IGFL3, IQGAP2, IRAG2, ITGAV, ITGB6, KLHL41, KLK4, KLK8, MAP3K5, MPHOSPH9, MSTN, MYBPC2, MYH1, MYL1, MYL3, MYL5, MYOM3, NEB, NEFL, NFAT5, NGRN, NOS1, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SORBS1, STX4, THBS4, TRAF2, TTN, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.664061913,64,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CAP2, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, DCTN2, DTNB, DUSP29, ELAVL4, EPHA1, FABP2, FABP3, FGFBP1, GFAP, GOLGA4, HPCAL4, IFT172, IGFL3, IQGAP2, IRAG2, ITGAV, ITGB6, KLHL41, KLK4, KLK8, MAP3K5, MPHOSPH9, MSTN, MYBPC2, MYH1, MYL1, MYL3, MYL5, MYOM3, NEB, NEFL, NFAT5, NGRN, NOS1, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SORBS1, STX4, THBS4, TRAF2, TTN, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.663540421,65,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CAP2, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, DCTN2, DTNB, DUSP29, ELAVL4, EPHA1, FABP2, FABP3, FGFBP1, FYCO1, GFAP, GOLGA4, HPCAL4, IFT172, IGFL3, IQGAP2, IRAG2, ITGAV, ITGB6, KLHL41, KLK4, KLK8, MAP3K5, MPHOSPH9, MSTN, MYBPC1, MYBPC2, MYH1, MYL1, MYL3, MYL5, MYOM3, NEB, NEFL, NFAT5, NGRN, NOS1, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SORBS1, STX4, THBS4, TNNI3, TRAF2, TTN, TXLNB, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.660389995,69,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, DCTN2, DTNB, DUSP29, ELAVL4, EPHA1, FABP2, FABP3, FGFBP1, FYCO1, GFAP, GOLGA4, HPCAL4, IFT172, IGFL3, IQGAP2, IRAG2, ITGAV, ITGB6, KISS1, KLHL41, KLK4, KLK8, MAP3K5, MPHOSPH9, MSTN, MYBPC1, MYBPC2, MYH1, MYL1, MYL3, MYL5, MYOM3, NEB, NEFL, NFAT5, NGRN, NOS1, OTUD4, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SORBS1, STX4, THBS4, TNNI3, TRAF2, TTN, TXLNB, USP28, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.661492715,71,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, DTNB, DUSP29, ELAVL4, EPHA1, FABP2, FABP3, FGFBP1, FYCO1, GFAP, GOLGA4, HPCAL4, IFT172, IGFL3, IQGAP2, IRAG2, ITGAV, KISS1, KLHL41, KLK15, KLK4, KLK8, MAP3K5, MPHOSPH9, MSTN, MYBPC1, MYBPC2, MYH1, MYH9, MYL1, MYL5, MYOM3, NEB, NEFL, NFAT5, NGRN, NOS1, OTUD4, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SORBS1, STX4, SYNM, THBS4, TNNI3, TRAF2, TRAFD1, TTN, TXLNB, USP28, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.657819583,72,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, DCTN2, DTNB, DUSP29, ELAVL4, EPHA1, FABP2, FABP3, FGFBP1, FYCO1, GFAP, GOLGA4, HPCAL4, IFT172, IGFL3, IQGAP2, IRAG2, ITGAV, ITGB6, KISS1, KLHL41, KLK4, KLK8, MAP3K5, MPHOSPH9, MSTN, MYBPC1, MYBPC2, MYH1, MYH9, MYL1, MYL3, MYL5, MYOM3, NEB, NEFL, NFAT5, NGRN, NOS1, OTUD4, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SORBS1, STX4, THBS4, TNNI3, TRAF2, TRAFD1, TTN, TXLNB, USP28, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.660620884,73,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, DCTN2, DTNB, DUSP29, ELAVL4, EPHA1, FABP2, FABP3, FGFBP1, FYCO1, GFAP, GOLGA4, HPCAL4, IFT172, IGFL3, IQGAP2, IRAG2, ITGAV, KISS1, KLHL41, KLK15, KLK4, KLK8, MAP3K5, MPHOSPH9, MSTN, MYBPC1, MYBPC2, MYH1, MYH9, MYL1, MYL3, MYL5, MYOM3, NEB, NEFL, NFAT5, NGRN, NOS1, OTUD4, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SORBS1, STX4, SYNM, THBS4, TNNI3, TRAF2, TRAFD1, TTN, TXLNB, USP28, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.659664596,74,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, DTNB, DUSP29, ELAVL4, ENDOU, EPHA1, FABP2, FABP3, FGFBP1, FYCO1, GFAP, GOLGA4, HPCAL4, IFT172, IGFL3, IQGAP2, IRAG2, ITGAM, ITGAV, KISS1, KLHL41, KLK15, KLK4, KLK8, MAP3K5, MELTF, MPHOSPH9, MSTN, MYBPC1, MYBPC2, MYH1, MYH9, MYL1, MYL5, MYOM3, NEB, NEFL, NFAT5, NGRN, NOS1, OTUD4, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SPINK7, STX4, SYNM, THBS4, TNNI3, TRAF2, TRAFD1, TTN, TXLNB, USP28, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.65816886,75,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, DTNB, DUSP29, ELAVL4, ENDOU, EPHA1, FABP2, FABP3, FGFBP1, FYCO1, GFAP, GOLGA4, HPCAL4, IDI2, IFT172, IGFL3, IQGAP2, IRAG2, ITGAM, ITGAV, KISS1, KLHL41, KLK15, KLK4, KLK8, MAP3K5, MELTF, MPHOSPH9, MSTN, MYBPC1, MYBPC2, MYH1, MYH9, MYL1, MYL5, MYOM3, NEB, NEFL, NFAT5, NGRN, NOS1, OTUD4, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SPINK7, STX4, SYNM, THBS4, TNNI3, TRAF2, TRAFD1, TTN, TXLNB, USP28, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.658188919,76,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, DTNB, DUSP29, ELAVL4, ENDOU, EPHA1, FABP2, FABP3, FGFBP1, FYCO1, GFAP, GOLGA4, HPCAL4, IDI2, IFT172, IGFL3, IQGAP2, IRAG2, ITGAM, ITGAV, KISS1, KLHL41, KLK15, KLK4, KLK8, KRI1, MAP3K5, MELTF, MPHOSPH9, MSTN, MYBPC1, MYBPC2, MYH1, MYH9, MYL1, MYL5, MYOM3, NEB, NEFL, NFAT5, NGRN, NOS1, OTUD4, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SPINK7, STX4, SYNM, THBS4, TNNI3, TRAF2, TRAFD1, TTN, TXLNB, USP28, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.659948279,77,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, DTNB, DUSP29, ELAVL4, ENDOU, EPHA1, EZR, FABP2, FABP3, FGFBP1, FYCO1, GFAP, GOLGA4, HPCAL4, IDI2, IFT172, IGFL3, IQGAP2, IRAG2, ITGAM, ITGAV, KISS1, KLHL41, KLK15, KLK4, KLK8, KRI1, MAP3K5, MELTF, MPHOSPH9, MSTN, MYBPC1, MYBPC2, MYH1, MYH9, MYL1, MYL5, MYOM3, NEB, NEFL, NFAT5, NGRN, NOS1, OTUD4, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SPINK7, STX4, SYNM, THBS4, TNNI3, TRAF2, TRAFD1, TTN, TXLNB, USP28, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.657293465,78,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, DTNB, DUSP29, ELAVL4, ENDOU, EPHA1, EZR, FABP2, FABP3, FGFBP1, FYCO1, GFAP, GOLGA4, HPCAL4, IDI2, IFT172, IGFL3, IQGAP2, IRAG2, ITGAM, ITGAV, KISS1, KLHL41, KLK15, KLK4, KLK8, KRI1, MAP3K5, MELTF, MPHOSPH9, MSTN, MYBPC1, MYBPC2, MYH1, MYH9, MYL1, MYL5, MYOM3, NEB, NEFL, NFAT5, NGRN, NOS1, OTUD4, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SMTN, SPINK7, STX4, SYNM, THBS4, TNNI3, TRAF2, TRAFD1, TTN, TXLNB, USP28, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.657369232,79,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, CSRP3, DTNB, DUSP29, ELAVL4, ENDOU, EPHA1, EZR, FABP2, FABP3, FGFBP1, FYCO1, GFAP, GOLGA4, HPCAL4, IDI2, IFT172, IGFL3, IQGAP2, IRAG2, ITGAM, ITGAV, KISS1, KLHL41, KLK15, KLK4, KLK8, KRI1, MAP3K5, MELTF, MPHOSPH9, MSTN, MYBPC1, MYBPC2, MYH1, MYH9, MYL1, MYL5, MYOM3, NEB, NEFL, NFAT5, NGRN, NOS1, OTUD4, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SMTN, SPINK7, STX4, SYNM, THBS4, TNNI3, TRAF2, TRAFD1, TTN, TXLNB, USP28, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.655582558,80,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, CSRP3, DTNB, DUSP29, ELAVL4, EPHA1, EZR, FABP2, FABP3, FGFBP1, FYCO1, GFAP, GOLGA4, HPCAL4, IDI2, IFT172, IGFL3, IQGAP2, IRAG2, ITGAM, KISS1, KLHL41, KLK15, KLK4, KLK8, KRI1, MAP3K5, MAP4K1, MELTF, MMP3, MPHOSPH9, MSTN, MYBPC1, MYBPC2, MYH1, MYH9, MYL1, MYL5, MYOM3, NDE1, NEB, NEFL, NFAT5, NOS1, OTUD4, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SMTN, SPINK7, STX4, SYNM, THBS4, TNFRSF12A, TNNI3, TRAF2, TRAFD1, TTN, TXLNB, USP28, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.645373572,81,LASSO,3,_first_onset,,NA
"ACTN2, ADAM12, ADAMTSL5, ALDH3A1, ANKRD2, ART3, CA14, CALCA, CALCOCO1, CCK, CCN3, CD276, CD38, CLEC4G, COL6A3, CRTAC1, CSRP3, DTNB, DUSP29, ELAVL4, EPHA1, EZR, FABP2, FABP3, FGFBP1, FYCO1, GFAP, GOLGA4, HPCAL4, IDI2, IFT172, IGFL3, IQGAP2, IRAG2, ITGAM, ITGAV, KISS1, KLHL41, KLK15, KLK4, KLK8, KRI1, MAP3K5, MAP4K1, MELTF, MMP3, MPHOSPH9, MSTN, MYBPC1, MYBPC2, MYH1, MYH9, MYL1, MYL5, MYOM3, NDE1, NEB, NEFL, NFAT5, NOS1, OTUD4, PDZD2, PPFIA1, PPP6R2, PPY, PRKN, RGMA, SAV1, SERPINB8, SMTN, SPINK7, STX4, SYNM, THBS4, TNFRSF12A, TNNI3, TRAF2, TRAFD1, TTN, TXLNB, USP28, WASF3, X_Male, X_Age, X_Geno_SOD1_A4V, X_Geno_SOD1_non_A4V, X_Geno_C9orf72, X_Geno_Other",0.647196806,82,LASSO,3,_first_onset,,NA
